title,overview,genres,cast,poster_url
Terrifier,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,"['Horror', 'Thriller']","['David Howard Thornton', 'Jenna Kanell', 'Samantha Scaffidi', 'Catherine Corcoran', 'Pooya Mohseni']",https://image.tmdb.org/t/p/w500/sFaPj5UyIAsiRuIgVl60pCYUzmR.jpg
Heavenly Touch,"Jonard is having trouble making ends meet. His mother is suffering from depression, and he and his sister are forced to quit school in order to take care of her. One day, Jonard meets up his friend Rodel, and Rodel introduces him to the world of massage parlors. Rodel teaches him massage, and brings him to Heavenly Touch, a syndicate-run massage parlor that mostly caters to homosexuals.","['Drama', 'Romance']","['Paolo Serrano', 'Joash Balejado', 'Marco Morales', 'Gwen Garci', 'Paolo Rivero']",https://image.tmdb.org/t/p/w500/ory8WuAqznTE7lfopTSymHpop2t.jpg
Terrifier 2,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.","['Horror', 'Thriller']","['David Howard Thornton', 'Lauren LaVera', 'Elliott Fullam', 'Sarah Voigt', 'Kailey Hyman']",https://image.tmdb.org/t/p/w500/8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg
Don't Move,"A grieving woman in a secluded forest encounters a killer who injects her with a paralytic drug. As her body shuts down, her fight for survival begins.","['Horror', 'Thriller']","['Kelsey Asbille', 'Finn Wittrock', 'Daniel Francis', 'Moray Treadwell', 'Dylan Beam']",https://image.tmdb.org/t/p/w500/cRDJxdnRb7ikKd6fVJTrGeaL34v.jpg
Azrael,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.","['Action', 'Horror', 'Thriller']","['Samara Weaving', 'Vic Carmen Sonne', 'Katariina Unt', 'Peter Christoffersen', 'Nathan Stewart-Jarrett']",https://image.tmdb.org/t/p/w500/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.","['Comedy', 'Fantasy', 'Horror']","['Michael Keaton', 'Winona Ryder', ""Catherine O'Hara"", 'Jenna Ortega', 'Justin Theroux']",https://image.tmdb.org/t/p/w500/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg
Apocalypse Z: The Beginning of the End,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.","['Drama', 'Action', 'Horror']","['Francisco Ortiz', 'José María Yázpik', 'Berta Vázquez', 'Iria del Río', 'Marta Poveda']",https://image.tmdb.org/t/p/w500/hSmOrZl8ON2aJk6xvjNgVQiPdCP.jpg
Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","['Family', 'Animation', 'Music', 'Adventure']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach', 'Renee Victor']",https://image.tmdb.org/t/p/w500/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg
Time Cut,"A teen in 2024 accidentally time-travels to 2003, days before a masked killer murders her sister. Can she change the past without destroying the future?","['Horror', 'Science Fiction', 'Thriller']","['Madison Bailey', 'Antonia Gentry', 'Griffin Gluck', 'Megan Best', 'Michael Shanks']",https://image.tmdb.org/t/p/w500/gzMFMmpJHOmOFKsAhSDac62Dyg2.jpg
Sing: Thriller,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.","['Animation', 'Family', 'Comedy', 'Horror']","['Matthew McConaughey', 'Tori Kelly', 'Nick Kroll', 'Scarlett Johansson', 'Taron Egerton']",https://image.tmdb.org/t/p/w500/i77OInTKcrnRlAozFOaB6D5mk15.jpg
Do Not Enter,"Two working class youtubers ‘in the making’ enter an abandoned mansion to get their basketball back, and get lost inside while pranking each other. They record their ‘quick adventure’ with their phones for their audience, and tweak it with a fake phantom appearance to attract more followers to their YouTube channel. When uploaded the video goes viral, so they start a challenge: if the video reaches a certain number of views, they will enter the house again, at night, alone, totally unprotected. As fans react positively, they will do as promised, not only to discover and unveil the true nature of the place and their inhabitants, but to realize they might not be among the living anymore. Which opens a question - how far would you go to be famous?",['Horror'],"['Pablo Martínez', 'Lucas Caballero', 'Rafael Alfaro', 'Lara Chamorro', 'Andy Romero']",https://image.tmdb.org/t/p/w500/1iPuEIcybEc9Y6aKJ8BGAnMadFX.jpg
Corpse Bride,"In a 19th-century European village, a young man about to be married is whisked away to the underworld and wed to a mysterious corpse bride, while his real bride waits bereft in the land of the living.","['Romance', 'Fantasy', 'Animation']","['Johnny Depp', 'Helena Bonham Carter', 'Emily Watson', 'Tracey Ullman', 'Paul Whitehouse']",https://image.tmdb.org/t/p/w500/isb2Qow76GpqYmsSyfdMfsYAjts.jpg
